2025-07-09 05:31:37 | 150131216363 | outside -> zone1
2025-07-09 05:32:10 | 150131216363 | outside -> zone1
2025-07-09 05:32:18 | 150131216363 | outside -> zone1
2025-07-09 05:32:58 | 150131216363 | outside -> zone2
2025-07-09 05:33:06 | 150131216363 | zone2 -> outside
2025-07-09 05:33:22 | 641512163253 | outside -> zone2
2025-07-09 05:44:46 | M1001 | outside -> zone2
2025-07-09 05:44:57 | M1001 | zone2 -> zone1
2025-07-09 05:45:05 | O4001 | outside -> zone1
2025-07-09 05:45:13 | O4001 | outside -> zone2
2025-07-09 05:45:21 | O4001 | zone2 -> zone1
2025-07-09 05:45:46 | A4093 | outside -> zone2
2025-07-09 05:46:37 | M1003 | outside -> zone1
2025-07-09 05:46:42 | M1003 | outside -> zone2
2025-07-09 05:55:27 | M1001 | outside -> zone2
2025-07-09 05:55:42 | M1001 | zone2 -> outside
2025-07-09 05:55:53 | M1001 | outside -> zone2
2025-07-09 05:56:05 | M1001 | zone2 -> zone1
2025-07-09 05:56:22 | O4001 | outside -> zone2
2025-07-09 05:56:31 | O4001 | zone2 -> zone1
2025-07-09 05:56:45 | O4001 | zone1 -> zone2
2025-07-09 05:57:04 | M1001 | zone1 -> zone2
2025-07-09 05:57:37 | M1001 | zone2 -> outside
2025-07-09 05:57:52 | O4001 | zone2 -> outside
2025-07-09 05:58:03 | M1001 | outside -> zone2
2025-07-09 05:58:15 | M1001 | zone2 -> zone1
2025-07-09 05:58:40 | M1001 | zone1 -> zone2
2025-07-09 05:58:55 | O4001 | outside -> zone1
2025-07-09 05:59:00 | O4001 | outside -> zone2
2025-07-09 05:59:11 | O4001 | zone2 -> zone1
2025-07-09 06:06:23 | M1001 | outside -> zone2
2025-07-09 06:06:31 | M1001 | zone2 -> outside
2025-07-09 06:06:42 | M1001 | outside -> zone2
2025-07-09 06:06:49 | M1001 | zone2 -> zone1
2025-07-09 06:07:04 | O4001 | outside -> zone2
2025-07-09 06:07:12 | M1003 | outside -> zone2
2025-07-09 06:07:24 | O4001 | outside -> zone1 (DENIED)
2025-07-09 06:08:34 | M1001 | zone1 -> zone2
2025-07-09 06:28:28 | M1003 | outside -> zone2
2025-07-09 06:28:40 | M1003 | zone2 -> zone1
2025-07-09 06:28:47 | O4001 | outside -> zone1 (DENIED)
2025-07-09 06:28:56 | M1003 | zone1 -> zone2
2025-07-10 17:49:23 | M1001 | outside -> zone1 (DENIED)
2025-07-10 17:49:48 | M1001 | outside -> zone1 (DENIED)
2025-07-10 17:57:50 | M1001 | outside -> zone2
2025-07-10 17:58:18 | M1001 | zone2 -> zone1
2025-07-10 17:58:41 | O4003 | outside -> zone2
2025-07-10 17:58:54 | O4003 | outside -> zone1 (DENIED)
2025-07-10 17:59:56 | M1001 | zone1 -> zone2
2025-07-12 16:56:03 | M1001 | outside -> zone1 (DENIED)
2025-07-12 16:59:07 | M1001 | outside -> zone2
2025-07-12 17:00:21 | M1001 | zone2 -> zone1
2025-07-12 17:01:07 | M1001 | zone1 -> zone2
2025-07-12 17:01:15 | M1002 | outside -> zone1 (DENIED)
2025-07-12 17:01:23 | M1002 | outside -> zone1 (DENIED)
2025-07-12 17:01:55 | M1002 | outside -> zone2
2025-07-12 18:25:06 | M1002 | outside -> zone1 (DENIED)
2025-07-12 18:25:14 | M1002 | outside -> zone2
2025-07-12 18:25:25 | M1002 | zone2 -> zone1
2025-07-12 18:26:58 | M1001 | outside -> zone2
2025-07-12 18:27:09 | M1001 | zone2 -> zone1
2025-07-12 18:30:56 | M1001 | zone1 -> zone2
2025-07-12 18:42:45 | M1002 | outside -> zone2
